id_key	nmea_telegram	update_utcdate
458	$PSCMSM2,135653.00,V,DST,7,,17.69,15*25	2018-04-20 14:00:00.330
459	$PSCMSM2,135653.00,V,TS,2,F,7.00,1*29	2018-04-20 14:00:00.407
460	$PSCMSM2,135653.00,V,TS,2,H,27.75,1*17	2018-04-20 14:00:00.657
461	$PSCMGLL,5306.67,N,00954.64,W,135955.00,A,A*64	2018-04-20 14:00:00.757
462	$PSCMVTG,119.00,T,123.00,M,5.00,N,9.26,K,A*38	2018-04-20 14:00:00.853
463	$PSCMZDA,135655.00,20,04,2018,00,00*70	2018-04-20 14:00:00.937
464	$PSCMSM2,135655.00,V,TSP,1,X,-0.11,0*49	2018-04-20 14:00:01.187
465	$PSCMSM2,135655.00,V,TSP,1,Y,1.01,0*65	2018-04-20 14:00:01.270
466	$PSCMSM2,135655.00,A,DST,7,,17.81,15*32	2018-04-20 14:00:01.353
467	$PSCMSM2,135655.00,V,TS,2,O,27.44,1*14	2018-04-20 14:00:01.520
468	$PSCMSM2,135655.00,V,TS,2,H,27.50,1*16	2018-04-20 14:00:01.683
469	$PSCMGLL,5306.67,N,00954.64,W,135956.00,A,A*67	2018-04-20 14:00:01.783
470	$PSCMVTG,122.00,T,126.00,M,4.80,N,8.89,K,A*38	2018-04-20 14:00:01.880
471	$PSCMZDA,135656.00,20,04,2018,00,00*73	2018-04-20 14:00:01.963
472	$PSCMSM2,135656.00,V,TSP,1,Y,1.01,0*66	2018-04-20 14:00:02.297
473	$PSCMSM2,135656.00,V,TS,2,F,7.00,14*18	2018-04-20 14:00:02.547
474	$PSCMSM2,135656.00,V,TS,2,O,27.06,14*25	2018-04-20 14:00:02.633
475	$PSCMSM2,135656.00,V,TS,2,H,27.13,14*26	2018-04-20 14:00:02.720
476	$PSCMGLL,5306.67,N,00954.64,W,135957.00,A,A*66	2018-04-20 14:00:02.820
477	$PSCMVTG,126.00,T,130.00,M,4.60,N,8.52,K,A*33	2018-04-20 14:00:02.917
478	$PSCMZDA,135657.00,20,04,2018,00,00*72	2018-04-20 14:00:03.000
479	$PSCMDBS,293.64,f,89.50,M,48.94,F*24	2018-04-20 14:00:03.080
480	$PSCMSM2,135657.00,A,DST,1,,56.75,15*38	2018-04-20 14:00:03.167
481	$PSCMSM2,135657.00,V,TSP,1,Y,1.01,0*67	2018-04-20 14:00:03.333
482	$PSCMSM2,135657.00,V,TS,2,F,7.00,14*19	2018-04-20 14:00:03.587
483	$PSCMSM2,135657.00,V,TS,2,O,26.88,14*23	2018-04-20 14:00:03.670
484	$PSCMSM2,135657.00,V,TS,2,H,26.94,14*29	2018-04-20 14:00:03.757
485	$PSCMDBS,298.15,f,90.88,M,49.69,F*27	2018-04-20 14:00:04.117
486	$PSCMSM2,135658.00,V,DST,1,,57.31,15*21	2018-04-20 14:00:04.200
487	$PSCMSM2,135658.00,V,TSP,1,X,-0.11,0*44	2018-04-20 14:00:04.287
488	$PSCMSM2,135658.00,V,TSP,1,Y,1.01,0*68	2018-04-20 14:00:04.370
489	$PSCMSM2,135658.00,V,TS,2,C,0.06,14*12	2018-04-20 14:00:04.540
490	$PSCMSM2,135658.00,V,TS,2,F,7.00,14*16	2018-04-20 14:00:04.623
491	$PSCMSM2,135658.00,V,TS,2,O,26.69,14*23	2018-04-20 14:00:04.707
492	$PSCMSM2,135658.00,V,TS,2,H,26.75,14*29	2018-04-20 14:00:04.793
493	$PSCMGLL,5306.66,N,00954.63,W,140000.00,A,A*69	2018-04-20 14:00:04.893
494	$PSCMVTG,127.00,T,131.00,M,4.50,N,8.33,K,A*37	2018-04-20 14:00:04.990
495	$PSCMDBS,299.58,f,91.31,M,49.93,F*29	2018-04-20 14:00:05.153
496	$PSCMSM2,135659.00,V,TSP,1,X,-0.11,0*45	2018-04-20 14:00:05.410
497	$PSCMSM2,135659.00,A,DST,7,,18.00,15*38	2018-04-20 14:00:05.493
498	$PSCMSM2,135659.00,A,TS,2,O,25.88,8*04	2018-04-20 14:00:05.577
499	$PSCMSM2,135659.00,V,TS,2,H,25.94,8*19	2018-04-20 14:00:05.823
500	$PSCMGLL,5306.66,N,00954.63,W,140001.00,A,A*68	2018-04-20 14:00:05.923
501	$PSCMVTG,122.00,T,126.00,M,4.70,N,8.70,K,A*31	2018-04-20 14:00:06.020
502	$PSCMZDA,135700.00,20,04,2018,00,00*71	2018-04-20 14:00:06.103
503	$PSCMDBS,301.02,f,91.75,M,50.17,F*22	2018-04-20 14:00:06.183
504	$PSCMSM2,135700.00,V,DST,1,,58.13,15*22	2018-04-20 14:00:06.270
505	$PSCMSM2,135700.00,V,TSP,1,Y,1.01,0*64	2018-04-20 14:00:06.353
506	$PSCMSM2,135700.00,V,TSP,1,X,-0.11,0*48	2018-04-20 14:00:06.440
507	$PSCMSM2,135700.00,V,DST,7,,18.06,15*24	2018-04-20 14:00:06.523
508	$PSCMSM2,135700.00,V,TS,2,C,0.06,8*23	2018-04-20 14:00:06.687
509	$PSCMSM2,135700.00,V,TS,2,F,7.00,8*27	2018-04-20 14:00:06.770
510	$PSCMVTG,117.00,T,121.00,M,5.00,N,9.26,K,A*34	2018-04-20 14:00:07.050
511	$PSCMZDA,135701.00,20,04,2018,00,00*70	2018-04-20 14:00:07.133
512	$PSCMDBS,302.45,f,92.19,M,50.41,F*28	2018-04-20 14:00:07.213
513	$PSCMSM2,135701.00,A,DST,1,,58.31,15*34	2018-04-20 14:00:07.300
514	$PSCMSM2,135701.00,A,TSP,1,Y,1.01,0*72	2018-04-20 14:00:07.380
515	$PSCMSM2,135701.00,V,TSP,1,X,-0.11,0*49	2018-04-20 14:00:07.467
